Title,Year,Season,AverageSales,Rerelease,Total,Gross,Studio,Source
Namu Amida Butsu!: Rendai Utena,2019,Spring,253,0,253,1.6,Asahi Production,game
NANA,2006,Spring,8253,0,8253,330.4,Madhouse,manga
Nana Maru San Batsu,2017,Summer,289,0,289,1.9,TMS Entertainment,manga
Nanaka 6/17,2003,Winter,1104,0,1104,27.6,JC Staff,manga
Nanatsu no Taizai,2014,Fall,5007,0,5007,260.9,A1 Pictures,manga
Nanatsu no Taizai: Imashime no Fukkatsu,2018,Winter,1000,0,1000,43.4,A1 Pictures,manga
Nanatsu no Taizai: Seisen no Shirushi,2016,Summer,2157,0,2157,26.8,A1 Pictures,manga
Nanatsuiro Drops,2007,Summer,2114,637,2751,69.8,DIomedia,visual novel
Nanbaka,2016,Fall,511,0,511,4.8,Satelight,manga
Narue no Sekai,2003,Spring,4099,0,4099,142.6,Studio Live,manga
Narutaru,2003,Summer,478,0,478,1.8,Planet,manga
Natsu no Arashi!,2009,Spring,950,0,950,26.8,Shaft,manga
Natsu no Arashi!: Akinaichuu,2009,Fall,779,0,779,22.0,Shaft,manga
Natsu-iro Kiseki,2012,Spring,2990,0,2990,126.3,Sunrise,original
Natsume Yuujin-chou,2008,Summer,10872,12473,23345,327.6,Brains Base,manga
Natsume Yuujin-chou Go,2016,Fall,6148,0,6148,170.2,Shuka,manga
Natsume Yuujin-chou Roku,2017,Spring,4777,0,4777,153.3,Shuka,manga
Natsume Yuujin-chou San,2011,Summer,10535,5610,16145,334.8,Brains Base,manga
Natsume Yuujin-chou Shi,2012,Winter,9400,5610,15010,298.5,Brains Base,manga
Natsuyuki Rendezvous,2012,Summer,574,0,574,10.5,Douga Koubou,manga
Nazo no Kanojo X,2012,Spring,3087,0,3087,117.1,Hoods Entertainment,manga
Needless,2009,Summer,466,0,466,15.9,Madhouse,manga
Negima!?,2006,Fall,8830,422,9252,556.3,Shaft,manga
Nejimaki Seirei Senki: Tenkyou no Alderamin,2016,Summer,282,166,448,4.1,Madhouse,novel
Nekogami Yaoyorozu,2011,Summer,365,0,365,12.4,AIC Plus,manga
Neo Angelique Abyss,2008,Spring,1998,0,1998,60.6,Yumeta Company,visual novel
Neo Angelique Abyss -Second Age-,2008,Summer,1733,0,1733,49.6,Yumeta Company,visual novel
Nerima Daikon Brothers,2006,Winter,465,0,465,2.5,Studio Hibari,manga
Net-juu no Susume,2017,Fall,1518,0,1518,35.2,Signal.MD,manga
Netoge no Yome wa Onna no Ko Janai to Omotta?,2016,Spring,2020,307,2327,84.8,Project No.9,novel
Netsuzou TRap -NTR-,2017,Summer,382,0,382,4.4,Creators In Pack,manga
New Game!,2016,Summer,5886,0,5886,240.4,Douga Koubou,manga
New Game!!,2017,Summer,3636,0,3636,147.9,Douga Koubou,manga
NHK ni Youkoso!,2006,Summer,685,0,685,58.8,Gonzo,novel
Nichijou,2011,Spring,3024,3444,6468,290.1,Kyoto Animation,manga
NieA_7,2000,Spring,2963,823,3786,91.7,Triangle Staff,original
Night Head Genesis,2006,Summer,659,0,659,17.9,Actas,original
Night Wizard The Animation,2007,Fall,2521,0,2521,107.6,Hal Film Maker,game
Nijiiro Days,2016,Winter,294,0,294,1.2,Production Reed,manga
Nijuu Mensou no Musume,2008,Spring,564,0,564,25.1,Bones,manga
Nil Admirari no Tenbin,2018,Spring,450,0,450,2.3,Zero-G,visual novel
Ninin ga Shinobuden,2004,Summer,2221,1180,3401,82.0,ufotable,manga
Ninja Slayer From Animation,2015,Spring,1564,0,1564,50.7,Trigger,novel
Nisekoi,2014,Winter,6272,998,7270,303.1,Shaft,manga
Nisekoi:,2015,Spring,4246,998,5244,172.8,Shaft,manga
Nisemonogatari,2012,Winter,60719,4417,65136,2142.6,Shaft,novel
Nishi ni Yoki Majo Astrea Testament,2006,Spring,0,0,0,0.0,Hal Film Maker,novel
No Game No Life,2014,Spring,8774,998,9772,359.1,Madhouse,novel
NO.6,2011,Summer,3482,0,3482,117.2,Bones,manga
Nobunaga Concerto,2014,Summer,850,0,850,16.2,Fuji TV,manga
Nobunaga no Shinobi,2016,Fall,383,0,383,3.1,TMS Entertainment,manga
Nobunaga The Fool,2014,Winter,787,0,787,47.0,Satelight,original
Nobunagun,2014,Winter,427,0,427,12.8,Bridge,manga
Nodame Cantabile,2007,Winter,9715,898,10613,334.2,JC Staff,manga
Nodame Cantabile Finale,2010,Winter,4127,898,5025,77.6,JC Staff,manga
Nodame Cantabile Paris-hen,2008,Fall,4330,898,5228,74.3,JC Staff,manga
Noein Mou Hitori no Kimi e,2005,Fall,1017,1446,2463,48.8,Satelight,original
Nogizaka Haruka no Himitsu,2008,Summer,5909,656,6565,202.1,Diomedia,novel
Nogizaka Haruka no Himitsu Purezza,2009,Fall,4266,0,4266,156.6,Diomedia,novel
Noir,2001,Spring,8033,1199,9232,605.7,Bee Train,original
Non Non Biyori,2013,Fall,8673,3156,11829,360.1,Silver Link,manga
Non Non Biyori Repeat,2015,Summer,5300,3156,8456,220.0,Silver Link,manga
Noragami,2014,Winter,4380,411,4791,165.9,Bones,manga
Noragami Aragoto,2015,Fall,1821,0,1821,69.3,Bones,manga
Norn9: Norn+Nonet,2016,Winter,1807,0,1807,63.3,Kinema Citrus,game
Nourin,2014,Winter,2431,366,2797,96.9,Silver Link,novel
Nurarihyon no Mago,2010,Summer,4058,363,4421,188.3,Studio Deen,manga
Nurarihyon no Mago: Sennen no Makyou,2011,Summer,2835,0,2835,138.3,Studio Deen,manga
Nurse Witch Komugi-chan R,2016,Winter,100,0,100,1.4,Tatsunoko Production,original
Nyankoi!,2009,Fall,2524,519,3043,99.4,AIC,manga
Occultic;Nine,2016,Fall,791,0,791,22.2,A1 Pictures,novel
Oda Nobuna no Yabou,2012,Summer,4887,589,5476,200.6,Madhouse,novel
Ojisan to Marshmallow,2016,Winter,128,0,128,0.9,Creators in Pack,manga
Okusama ga Seitokaichou!,2015,Summer,1364,0,1364,18.6,Seven,manga
Okusama ga Seitokaichou!+!,2016,Fall,1055,0,1055,14.3,Seven,manga
Okusama wa Joshikousei,2005,Summer,1243,0,1243,36.1,Madhouse,manga
Okusama wa Mahou Shoujo,2005,Summer,849,0,849,10.0,JC Staff,original
Omae wa Mada Gunma wo Shiranai,2018,Spring,388,0,388,1.5,Asahi Production,manga
Omamori Himari,2010,Winter,3839,675,4514,179.6,Zexcs,manga
Omiai Aite wa Oshiego Tsuyoki na Mondaiji.,2017,Fall,298,0,298,1.8,Seven,manga
One Outs,2008,Fall,0,0,0,0.0,Madhouse,manga
One Punch Man,2015,Fall,10522,2301,12823,373.2,Madhouse,manga
One Room,2017,Winter,2397,0,2397,13.9,Typhoon Graphics,original
One Room Second Season,2018,Summer,2088,0,2088,12.1,Zero-G,original
Onee-chan ga Kita,2014,Winter,232,0,232,1.8,C2C,manga
Onegai Teacher,2002,Winter,13907,7281,21188,591.8,Daume,original
Onegai Twins,2003,Summer,14006,5851,19857,566.5,Daume,original
Ongaku Shoujo,2018,Summer,176,0,176,1.2,Studio Deen,original
Onigiri,2016,Summer,0,0,0,0.0,Pierrot+,game
Onihei,2017,Winter,0,0,0,0.0,M2,novel
Onii-chan Dakedo Ai Sae Areba Kankenai yo ne,2012,Fall,2787,0,2787,114.0,Silver Link,novel
Onii-chan no Koto Nanka Zenzen Suki ja nain Dakara ne!!,2011,Winter,2728,0,2728,86.2,Zexcs,manga
Onmyou Taisenki,2004,Fall,531,0,531,2.0,Sunrise,manga
Onsen Yousei Hakone-chan,2016,Winter,260,0,260,1.4,Asahi Production,manga
Ooedo Rocket,2007,Spring,480,0,480,1.9,Madhouse,stage play
Ookami Shoujo to Kuro Ouji,2014,Fall,535,0,535,16.8,TYO Animations,manga
Ookami to Koushinryou,2008,Winter,8958,6699,15657,308.8,Imagin,novel
Ookami to Koushinryou II,2009,Summer,5073,3377,8450,155.1,Brains Base,novel
Ookami-san to Shichinin no Nakamatachi,2010,Summer,1852,0,1852,59.3,JC Staff,novel
Ookamikakushi,2010,Winter,330,0,330,4.5,AIC,visual novel
Ookiku Furikabutte,2007,Spring,19297,3000,22297,1009.7,A1 Pictures,manga
Ookiku Furikabutte: Natsu no Taikai-hen,2010,Spring,8592,3000,11592,378.4,A1 Pictures,manga
Ooya-san wa Shishunki!,2016,Winter,1083,0,1083,7.3,Seven Arcs,manga
orange,2016,Summer,214,0,214,7.3,Telecom Animation Film,manga
Ore ga Ojousama Gakkou ni Shomin Sample Toshite Gets Sareta Ken,2015,Fall,991,310,1301,36.4,Silver Link,novel
Ore ga Suki nano wa Imouto dakedo Imouto ja Nai,2018,Fall,583,0,583,13.3,NAZ,novel
Ore Monogatari!!,2015,Spring,711,0,711,34.9,Madhouse,manga
Ore no Imouto ga Konna ni Kawaii Wake ga Nai,2010,Fall,23934,6549,30483,1300.2,AIC Build,novel
Ore no Imouto ga Konna ni Kawaii Wake ga Nai.,2013,Spring,16082,1888,17970,884.7,A1 Pictures,novel
Ore no Kanojo to Osananajimi ga Shuraba Sugiru,2013,Winter,3751,0,3751,152.7,A1 Pictures,novel
Ore no Nounai Sentakushi ga Gakuen Love Come wo Zenryoku de jama Shiteiru,2013,Fall,1327,0,1327,45.5,Diomedia,novel
Ore Twintail ni Narimasu.,2014,Fall,2461,0,2461,94.6,Production IMS,novel
Orenchi no Furo Jijou,2014,Fall,2370,0,2370,13.7,Asahi Production,manga
Oretachi ni Tsubasa wa Nai,2011,Spring,1395,0,1395,62.3,Nomad,visual novel
Osake wa Fuufu ni Natte kara,2017,Fall,160,76,236,1.2,Creators In Pack,manga
Oshiete! Galko-chan,2016,Winter,1394,0,1394,16.7,Feel,manga
Osomatsu-san,2015,Fall,66770,1891,68661,3273.0,Studio Pierrot,manga
Osomatsu-san Season 2,2017,Fall,10314,0,10314,487.3,Studio Pierrot,manga
Otome wa Boku ni Koishiteru,2006,Fall,10514,0,10514,319.3,Feel,visual novel
Otome Youkai Zakuro,2010,Fall,2211,0,2211,83.6,JC Staff,manga
Ouran Koukou Host-bu,2006,Spring,7484,1472,8956,313.9,Bones,manga
Ousama Game The Animation,2017,Fall,0,0,0,0.0,Seven,novel
Oushitsu Kyoushi Haine,2017,Spring,2609,0,2609,96.7,Bridge,manga
Outbreak Company,2013,Fall,1769,412,2181,65.2,Feel,novel
OverDrive,2007,Spring,598,0,598,6.6,Xebec,manga
Overlord,2015,Summer,12693,0,12693,490.8,Madhouse,novel
Overlord II,2018,Winter,6280,0,6280,240.6,Madhouse,novel
Overlord III,2018,Summer,7222,0,7222,274.9,Madhouse,novel
Overman King Gainer,2002,Fall,4931,2873,7804,260.8,Sunrise,original
Owari no Seraph,2015,Spring,3823,0,3823,100.1,WIT Studio,manga
Owari no Seraph Nagoya Kessen-hen,2015,Fall,2521,210,2731,61.6,WIT Studio,manga
Owarimonogatari,2015,Fall,29094,0,29094,955.0,Shaft,novel
Owarimonogatari Season 2,2017,Summer,21107,0,21107,403.9,Shaft,novel
Ozmafia!!,2016,Summer,0,0,0,0.0,Creators In Pack,visual novel
Pan de Peace!,2016,Spring,353,0,353,2.8,Asahi Production,manga
Pandora Hearts,2009,Spring,4328,0,4328,242.1,Xebec,manga
Pani Poni Dash!,2005,Summer,8925,4602,13527,430.2,Shaft,manga
Panty & Stocking with Garterbelt,2010,Fall,2672,1075,3747,134.6,Gainax,original
Papa no Iu Koto wo Kikinasai!,2012,Winter,3529,0,3529,114.6,Feel,novel
Paradise Kiss,2005,Fall,0,0,0,0.0,Madhouse,manga
Peace Maker Kurogane,2003,Fall,2084,0,2084,130.9,Gonzo,manga
Peach Girl,2005,Winter,0,0,0,0.0,Nomad,manga
Persona 4,2011,Fall,31280,1314,32594,2133.5,AIC ASTA,game
Persona 4 The Golden,2014,Summer,9816,1314,11130,332.4,A1 Pictures,game
Persona 5,2018,Spring,5268,0,5268,430.5,A1 Pictures,game
Persona: Trinity Soul,2008,Winter,3697,0,3697,202.4,A1 Pictures,game
Petopeto-san,2005,Summer,808,0,808,23.2,Xebec,novel
Phantasy Star Online 2 The Animation,2016,Winter,4488,0,4488,132.4,Telecom Animation Film,game
Phantom: Requiem for the Phantom,2009,Spring,1885,0,1885,126.1,Bee Train,visual novel
Phi Brain Kami no Puzzle,2011,Fall,305,0,305,8.3,Sunrise,original
Photokano,2013,Spring,1827,300,2127,85.1,Madhouse,visual novel
Piano no Mori,2018,Spring,164,0,164,4.9,Gaina,manga
Ping Pong,2014,Spring,3772,0,3772,117.6,Tatsunoko Production,manga
Pita-Ten,2002,Spring,2797,0,2797,160.8,Madhouse,manga
Planet With,2018,Summer,1363,0,1363,25.9,JC Staff,original
planetarian: Chiisana Hoshi no Yume,2016,Summer,5469,0,5469,26.3,David Production,visual novel
Planetes,2003,Fall,5562,5212,10774,244.0,Xebec,manga
Plastic Memories,2015,Spring,1977,0,1977,83.5,Douga Koubou,original
Platinumhugen Oridan,2000,Spring,2353,0,2353,28.9,Plum,original
Play Ball,2005,Summer,944,0,944,24.7,Eiken,manga
Play Ball 2nd,2006,Winter,664,0,664,22.3,Eiken,manga
Pop Team Epic,2018,Winter,5805,0,5805,118.4,Kamikaze Douga,manga
Popotan,2003,Summer,1760,0,1760,52.8,Shaft,visual novel
Potemayo,2007,Summer,1896,1358,3254,56.9,JC Staff,manga
Prince of Stride Alternative,2016,Winter,2289,0,2289,88.8,Madhouse,game
Princess Lover!,2009,Summer,4469,1493,5962,233.6,GoHands,visual novel
Princess Princess,2006,Spring,1396,0,1396,41.9,Studio Deen,manga
Princess Principal,2017,Summer,6027,0,6027,245.4,Studio 3Hz,original
Princess Tutu,2002,Summer,1702,1575,3277,57.9,Hal Film Maker,original
Prism Ark,2007,Fall,1425,0,1425,41.3,Frontline,visual novel
Prison School,2015,Summer,4519,251,4770,184.1,JC Staff,manga
Project Blue Chikyuu SOS,2006,Summer,0,0,0,0.0,A.C.G.T.,original
Psycho-Pass,2012,Fall,9318,12548,21866,473.1,Production IG,original
Psycho-Pass 2,2014,Fall,7026,0,7026,211.6,Tatsunoko Production,original
Puchimas! -Petit Idolmaster-,2013,Winter,6483,594,7077,117.2,Gathering,manga
Puchimas!! -Petit Idolmaster-,2014,Spring,3799,636,4435,56.1,Gathering,manga
Pumpkin Scissors,2006,Fall,2124,101,2225,127.0,Gonzo,manga
Punchline,2015,Spring,428,0,428,11.2,MAPPA,original
pupa,2014,Winter,326,0,326,1.9,Studio Deen,manga
Pupipo!,2014,Winter,119,0,119,0.8,AIC Plus,manga
Qualidea Code,2016,Summer,1235,0,1235,36.0,A1 Pictures,novel
Queen's Blade Rebellion,2012,Spring,3370,558,3928,135.3,Arms,other (visual combat book)
Queen's Blade: Gyokuza wo Tsugumono,2009,Fall,7037,558,7595,273.2,Arms,other (visual combat book)
Queen's Blade: Rurou no Senshi,2009,Spring,10513,558,11071,405.4,Arms,other (visual combat book)
R-15,2011,Summer,1491,0,1491,63.6,AIC,novel
R.O.D.: The TV,2003,Fall,7909,4894,12803,417.3,JC Staff,novel
Ragnarok the Animation,2004,Spring,1255,0,1255,55.3,Gonzo,game
Rahxephon,2002,Winter,9303,3478,12781,491.3,Bones,original
Rail Wars!,2014,Summer,1972,0,1972,78.2,Passione,novel
Rainbow,2010,Spring,0,0,0,0.0,Madhouse,manga
Rakudai Kishi no Cavalry,2015,Fall,2963,678,3641,121.5,Silver Link,novel
Rakugo Tennyo Oyui,2006,Winter,0,0,0,0.0,TNK,original
Ramen Daisuki Koizumi-san,2018,Winter,1070,0,1070,33.4,Studio Gokumi,manga
Ranpo Kitan: Game of Laplace,2015,Summer,844,0,844,27.5,Lerche,novel
Ray the Animation,2006,Spring,0,0,0,0.0,Oriental Light and Magic,manga
RDG Red Data Girl,2013,Spring,1443,0,1443,63.0,PA Works,novel
Re-Kan!,2015,Spring,761,186,947,29.7,Pierrot+,manga
Re: Hamatora,2014,Summer,1005,0,1005,28.4,Naz,manga
Re:Creators,2017,Spring,2233,0,2233,113.7,TROYCA,original
Re:Zero kara Hajimeru Isekai Seikatsu,2016,Spring,11997,0,11997,660.6,White Fox,novel
Real Drive RD Sennou Chousashitsu,2008,Spring,777,0,777,52.8,Production IG,original
REC,2006,Winter,0,0,0,0.0,Shaft,manga
Recorder to Randoseru Do,2012,Winter,313,0,313,1.5,Takeshobo,manga
Recorder to Randoseru Mi,2013,Summer,163,0,163,1.3,Takeshobo,manga
Recorder to Randoseru Re,2012,Spring,302,0,302,1.4,Takeshobo,manga
Red Garden,2006,Fall,0,0,0,0.0,Gonzo,original
Regalia: The Three Sacred Stars,2016,Fall,331,0,331,14.5,Actas,original
REIDEEN,2007,Spring,704,0,704,20.0,Production IG,original
Reikenzan: Hoshikuzu-tachi no Utage,2016,Winter,0,0,0,0.0,Studio Deen,manga
Release the Sypce,2018,Fall,1249,0,1249,48.1,Lay-duce,original
ReLIFE,2016,Summer,410,0,410,12.0,TMS Entertainment,manga
Renai Boukun,2017,Spring,368,0,368,2.6,EMT²,manga
Renkin 3-kyuu Magical Pokaan,2006,Spring,2514,0,2514,80.0,Remic,original
Rental Magica,2007,Fall,2434,0,2434,227.8,Zexcs,novel
RErideD: Tokigoe no Derrida,2018,Fall,0,0,0,0.0,Geektoys,original
revisions,2019,Winter,120,0,120,4.3,Shirogumi,original
Rewrite,2016,Summer,1894,0,1894,80.9,8bit,visual novel
Rewrite 2nd Season,2017,Winter,1253,0,1253,48.4,8bit,visual novel
Rideback,2009,Winter,970,0,970,17.6,Madhouse,manga
Ring ni Kakero 1,2004,Fall,830,0,830,33.9,Toei Animation,manga
Ring ni Kakero 1 – Nichibei Kessen-hen,2006,Spring,0,0,0,0.0,Toei Animation,manga
Rinne no Lagrange,2012,Winter,3323,0,3323,117.5,Xebec,original
Rinne no Lagrange season 2,2012,Summer,2055,0,2055,74.0,Xebec,original
Rio -RainbowGate!-,2011,Winter,933,0,933,30.8,Xebec,pachinko
Ristorante Paradiso,2009,Spring,1684,0,1684,41.3,David Production,manga
Rizelmine,2002,Spring,2086,0,2086,71.0,Madhouse,manga
RobiHachi,2019,Spring,331,0,331,2.1,Studio Comet,original
Robot Girls NEO,2018,Summer,277,0,277,1.3,Toei Animation,original
Robot Girls Z,2014,Winter,2095,1231,3326,43.2,Toei Animation,original
Robot Girls Z Plus,2015,Spring,1073,1231,2304,7.3,Toei Animation,original
Robotics;Notes,2012,Fall,1182,0,1182,79.2,Production IG,visual novel
Rocket Girls,2007,Winter,625,0,625,11.7,Mook Animation,novel
Rokka no Yuusha,2015,Summer,460,0,460,18.8,Passione,novel
Rokudenashi Majutsu Koushi to Akashic Records,2017,Spring,1991,0,1991,80.9,Liden Films,novel
Rokuhoudou Yotsuiro Biyori,2018,Spring,1141,0,1141,38.2,Zexcs,manga
Rokujouma no Shinryakusha!?,2014,Summer,2119,0,2119,85.5,Silver Link,novel
Rolling Girls,2015,Winter,1247,0,1247,51.8,WIT Studio,original
Romeo x Juliet,2007,Spring,1146,0,1146,53.3,Gonzo,stage play
Room Mate,2014,Summer,0,0,0,0.0,Typhoon Graphics,original
Rosario to Vampire,2008,Winter,5354,0,5354,207.4,Gonzo,manga
Rosario to Vampire Capu2,2008,Fall,4134,530,4664,159.7,Gonzo,manga
RouKyuuBu!,2011,Summer,6789,1656,8445,267.2,Studio Blanc Project No 9,novel
RouKyuuBu! SS,2013,Summer,4273,492,4765,175.2,Project No.9,novel
Rozen Maiden,2004,Fall,6432,3338,9770,193.0,Nomad,manga
Rozen Maiden (2013),2013,Summer,2114,163,2277,82.6,Studio Deen,manga
Rozen Maiden Traumend,2005,Fall,9777,3188,12965,305.3,Nomad,manga
Ryuugajou Nanana no Maizoukin,2014,Spring,935,0,935,21.8,A1 Pictures,novel
Ryuuou no Oshigoto!,2018,Winter,2174,0,2174,73.9,Project No.9,novel
Ryuusei Sentai Musumet,2004,Fall,655,0,655,1.6,TNK,original
Sabagebu!,2014,Summer,1683,0,1683,70.7,Pierrot+,manga
Sacred Seven,2011,Summer,1582,0,1582,64.5,Sunrise,original
Saenai Heroine no Sodatekata,2015,Winter,10495,0,10495,429.1,A1 Pictures,novel
Saenai Heroine no Sodatekata ♭,2017,Spring,8719,0,8719,361.7,A1 Pictures,novel
Saijaku Muhai no Bahamut,2016,Winter,1847,0,1847,72.2,Lerche,novel
Saiki Kusuo no Sai-nan,2016,Summer,1090,0,1090,38.5,JC Staff,manga
Saiki Kusuo no Sai-nan Season 2,2018,Winter,548,0,548,16.5,JC Staff,manga
Saikin Imouto no Yousuga Chotto Okashinda ga.,2014,Winter,1532,226,1758,64.9,Project No.9,manga
Saint Beast: Kouin Jojishi Tenshi-hen,2007,Spring,0,0,0,0.0,Tokyo Kids,drama CD
Saint Beast: Seijuu Kourin-hen,2003,Spring,0,0,0,0.0,Tokyo Kids,drama CD
Saint October,2007,Winter,620,0,620,7.8,Studio Comet,original
Saint Seiya Omega,2012,Spring,773,0,773,54.2,Toei Animation,manga
Saint Seiya Omega New Cloth-hen,2013,Spring,628,0,628,33.9,Toei Animation,manga
Saishuu Heiki Kanojo,2002,Summer,4143,463,4606,123.2,Gonzo,manga
Saiunkoku Monogatari,2006,Spring,3621,0,3621,306.0,Madhouse,novel
Saiunkoku Monogatari Second Season,2007,Spring,3440,0,3440,290.4,Madhouse,novel
Saiyuuki Reload,2003,Fall,3637,215,3852,145.2,Studio Pierrot,manga
Saiyuuki Reload Blast,2017,Summer,4264,0,4264,180.6,Platinum Vision,manga
Saiyuuki Reload Gunlock,2004,Spring,3140,213,3353,128.9,Studio Pierrot,manga
Sakamichi no Apollon,2012,Spring,2411,0,2411,62.4,MAPPA,original
Sakamoto desu ga?,2016,Spring,407,0,407,15.2,Studio Deen,manga
Saki,2009,Spring,7849,4602,12451,542.3,Gonzo Picture Magic,manga
Saki Achiga-hen episode of side – A,2012,Spring,5048,2136,7184,322.2,Studio Gokumi,manga
Saki Zenkoku-hen,2014,Winter,4716,0,4716,230.7,Studio Gokumi,manga
Sakigake! Cromartie Koukou,2003,Fall,1848,0,1848,37.1,Production IG,manga
Sakura Quest,2017,Spring,1264,0,1264,60.6,PA Works,original
Sakura Taisen,2000,Spring,5523,1164,6687,279.6,Madhouse,game
Sakura Trick,2014,Winter,2376,728,3104,91.6,Studio Deen,manga
Sakurada Reset,2017,Spring,223,0,223,4.4,David Production,novel
Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru,2015,Fall,527,0,527,24.0,Troyca,novel
Sakurasou no Pet na Kanojo,2012,Fall,2930,209,3139,178.3,JC Staff,novel
Samurai 7,2004,Summer,1116,257,1373,110.2,Gonzo,original
Samurai Champloo,2004,Spring,2767,2033,4800,208.6,Manglobe,original
Samurai Deeper Kyo,2002,Summer,1142,0,1142,31.8,Studio Deen,manga
Samurai Flamenco,2013,Fall,687,0,687,21.3,Manglobe,original
Samurai Girl Real Bout High School,2001,Summer,1508,0,1508,9.0,Gonzo,novel
Samurai Gun,2004,Fall,0,0,0,0.0,Studio Egg,manga
Sankarea,2012,Spring,1458,334,1792,57.4,Studio Deen,manga
Sanrio Danshi,2018,Winter,504,0,504,13.8,Studio Pierrot,original
Sansha Sanyou,2016,Spring,2140,0,2140,84.0,Douga Koubou,manga
Saraiya Goyou,2010,Spring,720,0,720,19.8,Manglobe,manga
Sarazanmai,2019,Spring,5333,0,5333,18.5,Lapin Track,original
Saredo Tsumibito wa Ryuu to Odoru,2018,Spring,213,0,213,2.0,Seven Arcs,novel
Sasameki Koto,2009,Fall,615,370,985,21.4,AIC,manga
Sasami Mahou Shoujo Club,2006,Spring,644,0,644,1.0,AIC Spirits,original
Sasami Mahou Shoujo Club season 2,2006,Fall,0,0,0,0.0,AIC Spirits,original
Sasami-san@Ganbaranai,2013,Winter,1860,0,1860,74.8,Shaft,novel
Satsuriku no Tenshi,2018,Summer,1328,0,1328,29.1,JC Staff,game
Sayonara Zetsubou-sensei,2007,Summer,7481,2604,10085,203.5,Shaft,manga
Scared Rider Xechs,2016,Summer,0,0,0,0.0,Satelight,game
School Days,2007,Summer,3984,872,4856,162.5,TNK,visual novel
School Rumble,2004,Fall,8095,0,8095,398.2,Studio Comet,manga
School Rumble Nigakki,2006,Spring,3644,0,3644,180.4,Studio Comet,manga
Schoolgirl Strikers,2017,Winter,549,0,549,25.3,JC Staff,game
Schwarzesmarken,2016,Winter,1220,0,1220,51.2,Liden Films,visual novel
Scrapped Princess,2003,Spring,2682,1014,3695,240.4,Bones,novel
Scryed,2001,Summer,6593,13098,19691,345.9,Sunrise,original
Seikai no Senki,2000,Spring,9620,3397,13017,325.9,Sunrise,novel
Seikai no Senki II,2001,Summer,4369,3451,7820,109.2,Sunrise,novel
Seiken no Blacksmith,2009,Fall,2192,176,2368,80.3,Manglobe,novel
Seiken Tsukai no World Break,2015,Winter,994,249,1243,40.3,Diomedia,novel
Seikimatsu Occult Gakuin,2010,Summer,2312,0,2312,90.8,A1 Pictures,original
Seikoku no Dragonar,2014,Spring,1182,0,1182,47.9,C-Station,novel
Seikon no Qwaser,2010,Winter,6657,421,7078,460.7,Hoods Entertainment,manga
Seikon no Qwaser II,2011,Spring,3567,421,3988,155.9,Hoods Entertainment,manga
Seirei no Moribito,2007,Spring,2370,4173,6543,178.7,Production IG,novel
Seirei Tsukai no Blade Dance,2014,Summer,1877,0,1877,76.1,TNK,novel
Seiren,2017,Winter,966,0,966,35.7,Studio Gokumi,original
Seishun Buta Yarou wa Bunny Girl-senpai no Yume wo Minai,2018,Fall,6720,0,6720,253.1,CloverWorks,novel
Seitokai no Ichizon,2009,Fall,5898,848,6746,276.0,Studio Deen,novel
Seitokai no Ichizon Lv.2,2012,Fall,856,0,856,26.5,AIC,novel
Seitokai Yakuindomo,2010,Summer,6437,748,7185,183.2,GoHands,manga
Seitokai Yakuindomo＊,2014,Winter,4077,578,4655,138.6,GoHands,manga
Sekai de Ichiban Tsuyoku Naritai!,2013,Fall,1176,0,1176,46.2,Arms,manga
Sekai Seifuku: Bouryaku no Zvezda,2014,Winter,2579,0,2579,102.8,A1 Pictures,original
Sekai-ichi Hatsukoi,2011,Spring,5001,1311,6312,198.1,Studio Deen,manga
Sekai-ichi Hatsukoi 2,2011,Fall,4007,1311,5318,158.7,Studio Deen,manga
Sekirei,2008,Summer,8231,2021,10252,286.4,Seven Arcs,manga
Sekirei: Pure Engagement,2010,Summer,6012,0,6012,269.7,Seven Arcs,manga
Sekkou Boys,2016,Winter,0,0,0,0.0,Liden Films,original
selector infected WIXOSS,2014,Spring,4604,811,5415,176.8,JC Staff,original
selector spread WIXOSS,2014,Fall,2811,852,3663,107.9,JC Staff,original
Sengoku Basara,2009,Spring,8628,1879,10507,333.8,Production IG,game
Sengoku Basara 2,2010,Summer,12952,1983,14935,525.2,Production IG,game
Sengoku Basara Judge End,2014,Summer,1152,0,1152,24.6,Telecom Animation Film,game
Sengoku Collection,2012,Spring,2545,0,2545,192.7,Brains Base,game
Sengoku Musou,2015,Winter,559,0,559,23.5,Tezuka Productions,game
Sengoku Night Blood,2017,Fall,1048,0,1048,39.1,Typhoon Graphics,game
Sengoku Otome: Momoiro Paradox,2011,Spring,1763,0,1763,58.6,TMS Entertainment,pachinko
Senjou no Valkyria,2009,Spring,3032,665,3697,153.6,A1 Pictures,game
Senjuushi,2018,Summer,918,0,918,14.6,TMS Entertainment,game
Senki Zesshou Symphogear,2012,Winter,5045,3841,8886,188.4,Satelight,original
Senki Zesshou Symphogear AXZ,2017,Summer,14792,0,14792,562.5,Satelight,original
Senki Zesshou Symphogear G,2013,Summer,8701,3795,12496,321.8,Satelight,original
Senki Zesshou Symphogear GX,2015,Summer,14229,0,14229,541.2,Satelight,original
Senkou no Night Raid,2010,Spring,1144,0,1144,22.2,A1 Pictures,original
Senran Kagura,2013,Winter,2711,287,2998,110.6,Artland,game
